course_code,course_name,technological_axis_code,technological_axis_name,occupation_subgroup_code,occupation_subgroup_name,sector_CNAE_context_2025,sector_context_coverage_share_2025,active_bonds_2019,active_bonds_2025,absolute_change_active_bonds,relative_change_active_bonds,municipalities_of_occupation_concentration_2025,municipal_concentration_coverage_share_2025,course_enrollments_2023,course_enrollments_2024,course_enrollments_2025,municipalities_offer_2023,municipalities_offer_2024,municipalities_offer_2025,regional_offer_share_2025,bridge_status,coverage_by_course,coverage_by_enrollment,Nova_Santa_Rita_subgroup_bonds_2019,Nova_Santa_Rita_subgroup_bonds_2025,Nova_Santa_Rita_sector_context_2025,non_additivity,interpretation_limit
4050,Administração,4000,Gestão e negócios,35,TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS,6912500 Cartórios: 343 in 2025 (Δ +75); 8411600 Administração pública em geral: 292 in 2025 (Δ -244); 1531901 Fabricação de calçados de couro: 177 in 2025 (Δ +26),0.11206182721501518,6208.0,7246.0,1038.0,0.16720360824742267,Novo Hamburgo 2258; São Leopoldo 1501; Campo Bom 713,0.6171680927408225,1498,1553,1694,Esteio; Novo Hamburgo; Portão; Sapucaia do Sul; São Leopoldo,Esteio; Novo Hamburgo; Portão; Sapucaia do Sul; São Leopoldo,Esteio; Novo Hamburgo; Portão; Sapucaia do Sul; São Leopoldo,0.12147723198278954,mapped,0.8863636363636364,0.9081391179634276,410.0,315.0,"4639701 Comércio atacadista de produtos alimentícios em geral: 45; 2640000 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo: 41; 4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 31",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
12174,Agropecuária,12000,Recursos naturais,32,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS BIOLÓGICAS, BIOQUÍMICAS, DA SAÚDE E AFINS","8610101 Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências: 1719 in 2025 (Δ +390); 8610102 Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências: 1393 in 2025 (Δ -19); 8411600 Administração pública em geral: 576 in 2025 (Δ -40)",0.6361911333448336,4985.0,5797.0,812.0,0.16288866599799398,Novo Hamburgo 2284; São Leopoldo 1085; Sapucaia do Sul 719,0.7051923408659652,193,210,166,São Leopoldo,Ivoti; São Leopoldo,São Leopoldo,0.011903908210828254,mapped,0.8863636363636364,0.9081391179634276,50.0,41.0,"8411600 Administração pública em geral: 24; 8640207 Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética: 4; 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados: 3",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
1002,Análises clínicas,1000,Ambiente e saúde,32,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS BIOLÓGICAS, BIOQUÍMICAS, DA SAÚDE E AFINS","8610101 Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências: 1719 in 2025 (Δ +390); 8610102 Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências: 1393 in 2025 (Δ -19); 8411600 Administração pública em geral: 576 in 2025 (Δ -40)",0.6361911333448336,4985.0,5797.0,812.0,0.16288866599799398,Novo Hamburgo 2284; São Leopoldo 1085; Sapucaia do Sul 719,0.7051923408659652,22,25,27,Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,0.001936177841520258,mapped,0.8863636363636364,0.9081391179634276,50.0,41.0,"8411600 Administração pública em geral: 24; 8640207 Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética: 4; 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados: 3",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
3036,Automação Industrial,3000,Controle e processos industriais,30,TÉCNICOS POLIVALENTES,"8532500 Educação superior - graduação e pós-graduação: 65 in 2025 (Δ +24); 2071100 Fabricação de tintas, vernizes, esmaltes e lacas: 37 in 2025 (Δ +1); 2219600 Fabricação de artefatos de borracha não especificados anteriormente: 36 in 2025 (Δ +14)",0.2653846153846154,307.0,520.0,213.0,0.6938110749185668,São Leopoldo 188; Novo Hamburgo 101; Estância Velha 44,0.6403846153846153,150,246,388,São Leopoldo,Sapucaia do Sul; São Leopoldo,Sapucaia do Sul; São Leopoldo,0.027823592685550378,mapped,0.8863636363636364,0.9081391179634276,7.0,13.0,"2099199 Fabricação de outros produtos químicos não especificados anteriormente: 6; 2071100 Fabricação de tintas, vernizes, esmaltes e lacas: 2; 2330301 Fabricação de estruturas pré-moldadas de concreto armado, em série e sob encomenda: 2",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
3036,Automação Industrial,3000,Controle e processos industriais,31,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS FÍSICAS, QUÍMICAS, ENGENHARIA E AFINS","2840200 Fabricação de máquinas-ferramenta, peças e acessórios: 621 in 2025 (Δ +511); 1531901 Fabricação de calçados de couro: 330 in 2025 (Δ +41); 6202300 Desenvolvimento e licenciamento de programas de computador customizáveis: 276 in 2025 (Δ -40)",0.15142539800074048,6232.0,8103.0,1871.0,0.3002246469833119,São Leopoldo 3016; Novo Hamburgo 1985; Sapucaia do Sul 701,0.7036899913612242,150,246,388,São Leopoldo,Sapucaia do Sul; São Leopoldo,Sapucaia do Sul; São Leopoldo,0.027823592685550378,mapped,0.8863636363636364,0.9081391179634276,129.0,194.0,2099199 Fabricação de outros produtos químicos não especificados anteriormente: 36; 4292801 Montagem de estruturas metálicas: 23; 5212500 Carga e descarga: 20,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
11156,Calçados,11000,Produção industrial,31,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS FÍSICAS, QUÍMICAS, ENGENHARIA E AFINS","2840200 Fabricação de máquinas-ferramenta, peças e acessórios: 621 in 2025 (Δ +511); 1531901 Fabricação de calçados de couro: 330 in 2025 (Δ +41); 6202300 Desenvolvimento e licenciamento de programas de computador customizáveis: 276 in 2025 (Δ -40)",0.15142539800074048,6232.0,8103.0,1871.0,0.3002246469833119,São Leopoldo 3016; Novo Hamburgo 1985; Sapucaia do Sul 701,0.7036899913612242,55,95,119,Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,0.008533524560774471,mapped,0.8863636363636364,0.9081391179634276,129.0,194.0,2099199 Fabricação de outros produtos químicos não especificados anteriormente: 36; 4292801 Montagem de estruturas metálicas: 23; 5212500 Carga e descarga: 20,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4052,Comércio Exterior,4000,Gestão e negócios,34,TÉCNICOS DE NÍVEL MÉDIO EM SERVIÇOS DE TRANSPORTES,"4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 325 in 2025 (Δ +129); 4761003 Comércio varejista de artigos de papelaria: 97 in 2025 (Δ +97); 4639701 Comércio atacadista de produtos alimentícios em geral: 55 in 2025 (Δ +32)",0.42513368983957217,823.0,1122.0,299.0,0.36330498177399756,Nova Santa Rita 304; São Leopoldo 231; Novo Hamburgo 166,0.624777183600713,33,37,53,Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,0.00380064539261384,mapped,0.8863636363636364,0.9081391179634276,143.0,304.0,"4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 127; 4639701 Comércio atacadista de produtos alimentícios em geral: 46; 7820500 Locação de mão-de-obra temporária: 33",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4052,Comércio Exterior,4000,Gestão e negócios,35,TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS,6912500 Cartórios: 343 in 2025 (Δ +75); 8411600 Administração pública em geral: 292 in 2025 (Δ -244); 1531901 Fabricação de calçados de couro: 177 in 2025 (Δ +26),0.11206182721501518,6208.0,7246.0,1038.0,0.16720360824742267,Novo Hamburgo 2258; São Leopoldo 1501; Campo Bom 713,0.6171680927408225,33,37,53,Novo Hamburgo,Novo Hamburgo,Novo Hamburgo,0.00380064539261384,mapped,0.8863636363636364,0.9081391179634276,410.0,315.0,"4639701 Comércio atacadista de produtos alimentícios em geral: 45; 2640000 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo: 41; 4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 31",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
4053,Contabilidade,4000,Gestão e negócios,35,TÉCNICOS DE NIVEL MÉDIO NAS CIÊNCIAS ADMINISTRATIVAS,6912500 Cartórios: 343 in 2025 (Δ +75); 8411600 Administração pública em geral: 292 in 2025 (Δ -244); 1531901 Fabricação de calçados de couro: 177 in 2025 (Δ +26),0.11206182721501518,6208.0,7246.0,1038.0,0.16720360824742267,Novo Hamburgo 2258; São Leopoldo 1501; Campo Bom 713,0.6171680927408225,400,305,300,Esteio; Novo Hamburgo; Portão; São Leopoldo,Novo Hamburgo; Portão; São Leopoldo,Portão,0.02151308712800287,mapped,0.8863636363636364,0.9081391179634276,410.0,315.0,"4639701 Comércio atacadista de produtos alimentícios em geral: 45; 2640000 Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo: 41; 4930202 Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional: 31",Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
11160,Curtimento,11000,Produção industrial,31,"TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS FÍSICAS, QUÍMICAS, ENGENHARIA E AFINS","2840200 Fabricação de máquinas-ferramenta, peças e acessórios: 621 in 2025 (Δ +511); 1531901 Fabricação de calçados de couro: 330 in 2025 (Δ +41); 6202300 Desenvolvimento e licenciamento de programas de computador customizáveis: 276 in 2025 (Δ -40)",0.15142539800074048,6232.0,8103.0,1871.0,0.3002246469833119,São Leopoldo 3016; Novo Hamburgo 1985; Sapucaia do Sul 701,0.7036899913612242,91,118,116,Estância Velha,Estância Velha,Estância Velha,0.008318393689494443,mapped,0.8863636363636364,0.9081391179634276,129.0,194.0,2099199 Fabricação de outros produtos químicos não especificados anteriormente: 36; 4292801 Montagem de estruturas metálicas: 23; 5212500 Carga e descarga: 20,Course enrollments repeat across mapped occupation subgroups; neither course nor subgroup totals may be summed across rows of this matrix.,"Normative formative correspondence only; school-location supply and workplace bonds do not show individual trajectory, empirical fit, labor outcome, capacity or a future requirement."
