outcome,factor,stage,network,location,window,lag,specification_id,specification,sensitivity,coefficient,coefficient_unit,magnitude_recorded_by_job3,sign,raw_p_value,bh_adjusted_p_value,observations,municipality_count,weighting,INSE_control,fixed_effects,main_or_sensitivity,sign_agreement_with_main,magnitude_range_across_sensitivities,leave_one_out_min,leave_one_out_max,pandemic_exclusion_result,Nova_Santa_Rita_relevance,possible_planning_delta,lens_and_period_compatibility,factual_limit
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019;2022-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-EXCLUDE_2020_2021,S1_CLASS_SIZE,EXCLUDE_2020_2021,0.2631986733337534,outcome percentage points per 1 student per class,0.2631986733337534,positive,0.0001642333539362,0.0004619063079456,2484,497,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019;2022-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2020-2025,1,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LAG1,S1_CLASS_SIZE,LAG_1,0.2289394525009123,outcome percentage points per 1 student per class,0.2289394525009123,positive,0.0015479654161664,0.0034829221863744,2980,497,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2020-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4303905,S1_CLASS_SIZE,LEAVE_OUT_VALE_4303905,0.3247741842287543,outcome percentage points per 1 student per class,0.3247741842287543,positive,1.9218584879773422e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4306403,S1_CLASS_SIZE,LEAVE_OUT_VALE_4306403,0.3256446802962439,outcome percentage points per 1 student per class,0.3256446802962439,positive,1.827276371953688e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4307609,S1_CLASS_SIZE,LEAVE_OUT_VALE_4307609,0.3260112858394745,outcome percentage points per 1 student per class,0.3260112858394745,positive,1.801750929813416e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4307708,S1_CLASS_SIZE,LEAVE_OUT_VALE_4307708,0.3245488030927685,outcome percentage points per 1 student per class,0.3245488030927685,positive,1.9640781950526043e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4310801,S1_CLASS_SIZE,LEAVE_OUT_VALE_4310801,0.3249225923820062,outcome percentage points per 1 student per class,0.3249225923820062,positive,1.9127022971998906e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4313375,S1_CLASS_SIZE,LEAVE_OUT_VALE_4313375,0.3251682873362825,outcome percentage points per 1 student per class,0.3251682873362825,positive,1.9052676192599008e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4313409,S1_CLASS_SIZE,LEAVE_OUT_VALE_4313409,0.3250374218707453,outcome percentage points per 1 student per class,0.3250374218707453,positive,1.896741233457289e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
age_grade_distortion_rate_percent,students_per_class,fundamental_anos_finais,total,total (school_location lens),2019-2025,0,H2-fundamental_anos_finais-age_grade_distortion_rate_percent-S1-LOO-4314803,S1_CLASS_SIZE,LEAVE_OUT_VALE_4314803,0.325447779616408,outcome percentage points per 1 student per class,0.325447779616408,positive,1.8437861064098668e-06,7.856312780210417e-06,3470,496,unweighted,false,true,sensitivity,true,"[0.22047044432061369,0.40743364639654561]",0.3245488030927685,0.3260112858394745,0.2631986733337534,No Nova Santa Rita fact at the identical stage/outcome grain in Job 3.,Jointly monitor students_per_class and age_grade_distortion_rate_percent in fundamental_anos_finais; the executed model cannot assign the relation to a specific network.,municipality-year-stage match; education/condition at school-location lens; network=total; executed years=2019-2025,"Ecological association, not causality or same-person evidence; Job 3 did not execute network-specific or H2 weighting sensitivities."
