outcome,factor,stage,network,location,window,lag,specification_id,specification,sensitivity,coefficient,coefficient_unit,magnitude_recorded_by_job3,sign,raw_p_value,bh_adjusted_p_value,observations,municipality_count,weighting,INSE_control,fixed_effects,main_or_sensitivity,sign_agreement_with_main,magnitude_range_across_sensitivities,leave_one_out_min,leave_one_out_max,pandemic_exclusion_result,Nova_Santa_Rita_relevance,possible_planning_delta,lens_and_period_compatibility,factual_limit,work_source,age_group,stock_or_flow,population_control,sector_or_occupation_context,large_municipalities_excluded,Vale_only_sensitivity,municipal_concentration,overlap_with_education_problem,same_person_inference_allowed
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019;2022-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-EXCLUDE_2020_2021,S1_RAIS_15_17,EXCLUDE_2020_2021,-1.097103266318456,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.097103266318456,negative,0.0066085396762785,0.0230565078879794,2298,490,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019;2022-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-EXCLUDE_LARGEST_RS_10,S1_RAIS_15_17,EXCLUDE_LARGEST_RS_10,-1.120870851186374,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.120870851186374,negative,0.0009822101924301,0.0038771454964347,3133,483,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",true,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-EXCLUDE_SMALL_POPULATION_DECILE,S1_RAIS_15_17,EXCLUDE_SMALL_POPULATION_DECILE,-0.9730074316474882,outcome percentage points per 1 unit of log1p(RAIS active bonds),0.9730074316474882,negative,0.0038157599720937,0.0143090998953516,2957,462,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2020-2025,1,H3-medio-age_grade_distortion_rate_percent-S1-LAG1,S1_RAIS_15_17,LAG_1,-0.9622579147768464,outcome percentage points per 1 unit of log1p(RAIS active bonds),0.9622579147768464,negative,0.0067632423138073,0.0230565078879794,2731,492,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2020-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2021-2025,2,H3-medio-age_grade_distortion_rate_percent-S1-LAG2,S1_RAIS_15_17,LAG_2,0.213378166367629,outcome percentage points per 1 unit of log1p(RAIS active bonds),0.213378166367629,positive,0.5806605973843022,0.659841587936707,2268,490,unweighted,false,true,sensitivity,false,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2021-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-LOO-4303905,S1_RAIS_15_17,LEAVE_OUT_VALE_4303905,-1.1270362808290482,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.1270362808290482,negative,0.0009045033646581,0.0038771454964347,3196,492,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-LOO-4306403,S1_RAIS_15_17,LEAVE_OUT_VALE_4306403,-1.1306605172407835,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.1306605172407835,negative,0.0008730824968912,0.0038771454964347,3196,492,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-LOO-4307609,S1_RAIS_15_17,LEAVE_OUT_VALE_4307609,-1.1317877057092565,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.1317877057092565,negative,0.0008623715357693,0.0038771454964347,3196,492,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-LOO-4307708,S1_RAIS_15_17,LEAVE_OUT_VALE_4307708,-1.1238559720341763,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.1238559720341763,negative,0.0009390564949887,0.0038771454964347,3196,492,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
age_grade_distortion_rate_percent,log1p_rais_15_17,medio,total (high school),education=school_location total; work=workplace_municipality,2019-2025,0,H3-medio-age_grade_distortion_rate_percent-S1-LOO-4310801,S1_RAIS_15_17,LEAVE_OUT_VALE_4310801,-1.1305524275709733,outcome percentage points per 1 unit of log1p(RAIS active bonds),1.1305524275709733,negative,0.0008773179389802,0.0038771454964347,3196,492,unweighted,false,true,sensitivity,true,"[0.025636043352963801,5.5306604092313441]",-1.1351812648575068,-1.1238559720341763,-1.097103266318456,Nova Santa Rita RAIS 15_17: 104 -> 172 (65.38%); medium distortion 43.3% -> 24.8% (-18.5 pp); coexistence only.,"Joint work-education monitoring by municipality and age group; no individual, causal, sector-specific RAIS-stock or network-specific decision follows.",ecological municipality-year match; workplace RAIS stock versus school-location education outcome; executed years=2019-2025,"Formal work only; no same-person, first-employment, informality, unemployment or causal inference. CAGED flow is descriptive and is not this coefficient.",RAIS,15_17,stock,false,"CAGED 2025 flow context only, not a RAIS-stock model: occupations: 411005 Auxiliar de escritório (2277 adjusted events); 411010 Assistente administrativo (1190 adjusted events); 784105 Embalador, a mão (862 adjusted events); sectors: 4711302 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados (1067 adjusted events); 4711301 Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados (612 adjusted events); 1531901 Fabricação de calçados de couro (438 adjusted events).",false,false,Job 3 dominant absolute RAIS 15-17 change: Novo Hamburgo +534; no joint work-education concentration threshold was preregistered.,"All ten Vale municipalities had RAIS 15-17 growth while medium dropout and distortion fell; 2025 levels differ, but no overlap threshold was preregistered.",false
