"fact_id","module_id","scope","municipality_ibge_code","approved_message_function","approved_fact","source_ids","period","territorial_lens","unit","calculation_or_status","semantic_limit","publication_allowed_now"
"H1-REGION-ALL-CRECHE-2014-2025","H1_DEMOGRAFIA_DEMANDA_OFERTA","region","","contrastar ritmos por etapa","Matrículas de creche no Vale: 13943 para 19617; população compatível: 47666 para 39225","SESI_POPULACAO_IDADE|SESI_CENSO_ESCOLAR_AGREGADO|JOB3_CANDIDATE_FACTS","2014-2025","resident_population|school_location","count|fraction","enrollment_relative_change=0.4069425518181166; population_relative_change=-0.17708639281668276","relação entre lentes não é taxa individual","false"
"H1-REGION-ALL-PRESCHOOL-2014-2025","H1_DEMOGRAFIA_DEMANDA_OFERTA","region","","contrastar ritmos por etapa","Matrículas de pré-escola no Vale: 17251 para 20716; população compatível: 22824 para 21436","SESI_POPULACAO_IDADE|SESI_CENSO_ESCOLAR_AGREGADO|JOB3_CANDIDATE_FACTS","2014-2025","resident_population|school_location","count|fraction","enrollment_relative_change=0.2008579212799258; population_relative_change=-0.06081317910970908","janela 2014-2025 não se combina com 2015-2025","false"
"H1-REGION-ALL-FUNDAMENTAL-2014-2025","H1_DEMOGRAFIA_DEMANDA_OFERTA","region","","estabelecer direção regional do fundamental","Matrículas do fundamental no Vale: 117469 para 104328","SESI_CENSO_ESCOLAR_AGREGADO|JOB3_CANDIDATE_FACTS","2014-2025","school_location","count|fraction","enrollment_relative_change=-0.11186781193336114","não recomenda decisão automática sobre escolas","false"
"H1-REGION-ALL-HIGH_SCHOOL-2014-2025","H1_DEMOGRAFIA_DEMANDA_OFERTA","region","","estabelecer direção regional do médio","Matrículas do médio no Vale: 31789 para 26911","SESI_CENSO_ESCOLAR_AGREGADO|JOB3_CANDIDATE_FACTS","2014-2025","school_location","count|fraction","enrollment_relative_change=-0.15344930636383655","sem atribuição por dependência","false"
"H1-MUNICIPALITY-4313375-FUNDAMENTAL-2014-2025","H1_DEMOGRAFIA_DEMANDA_OFERTA","municipality","4313375","mostrar diferença municipal útil","Matrículas do fundamental em Nova Santa Rita: 3873 para 3957; população compatível: 3709 para 4073","SESI_POPULACAO_IDADE|SESI_CENSO_ESCOLAR_AGREGADO|JOB3_CANDIDATE_FACTS","2014-2025","resident_population|school_location","count|fraction","enrollment_relative_change=0.021688613477924088; population_relative_change=0.09813966028579132","universos não são as mesmas pessoas","false"
"H1-MUNICIPALITY-4313375-HIGH_SCHOOL-2014-2025","H1_DEMOGRAFIA_DEMANDA_OFERTA","municipality","4313375","mostrar diferença municipal útil","Matrículas do médio em Nova Santa Rita: 799 para 840; população 15-17: 1269 para 1253","SESI_POPULACAO_IDADE|SESI_CENSO_ESCOLAR_AGREGADO|JOB3_CANDIDATE_FACTS","2014-2025","resident_population|school_location","count|fraction","enrollment_relative_change=0.05131414267834793; population_relative_change=-0.01260835303388495","sem causalidade e sem taxa individual","false"
"H4-REGION-FUNDAMENTAL-2022","H4_EJA_DISTRIBUICAO_OFERTA","region","","definir universo regional por etapa","Vale: público sem fundamental concluído=221260; matrículas EJA fundamental=5528","SESI_CENSO_2022_ESCOLARIDADE_ADULTA|SESI_EJA_CENSO_ESCOLAR|JOB2C_EJA","2022","resident_population|school_location","count","matriculas_por_mil=24.984182","medida distributiva, não individual","false"
"H4-REGION-HIGH_SCHOOL-2022","H4_EJA_DISTRIBUICAO_OFERTA","region","","definir universo regional por etapa","Vale: público com fundamental e sem médio concluído=127367; matrículas EJA médio=9251","SESI_CENSO_2022_ESCOLARIDADE_ADULTA|SESI_EJA_CENSO_ESCOLAR|JOB2C_EJA","2022","resident_population|school_location","count","matriculas_por_mil=72.632629","fundamental e médio permanecem separados","false"
"H4-MUN-4313375-FUNDAMENTAL-2022","H4_EJA_DISTRIBUICAO_OFERTA","municipality","4313375","mostrar participação das matrículas acima da participação do público no fundamental","Público=6068; matrículas=298; participação público=0.0274247491638796; participação matrículas=0.0539073806078147","SESI_CENSO_2022_ESCOLARIDADE_ADULTA|SESI_EJA_CENSO_ESCOLAR|JOB3_CANDIDATE_FACTS|C9_POS_JOB3","2022","resident_population|school_location","count|fraction_0_1","diferenca_distribuicao=0.0264826314439351","não unificar com o médio","false"
"H4-MUN-4313375-HIGH_SCHOOL-2022","H4_EJA_DISTRIBUICAO_OFERTA","municipality","4313375","mostrar participação das matrículas abaixo da participação do público no médio","Público=4447; matrículas=82; participação público=0.0349148523557907; participação matrículas=0.0088639066046913","SESI_CENSO_2022_ESCOLARIDADE_ADULTA|SESI_EJA_CENSO_ESCOLAR|JOB3_CANDIDATE_FACTS|C9_POS_JOB3","2022","resident_population|school_location","count|fraction_0_1","diferenca_distribuicao=-0.0260509457510993","não unificar com o fundamental","false"
